sample_name	treatment	molecule
5F-1  trained 5f
5F-2  trained 5f
5F-3  trained 5f
Fen-1  trained fen
Fen-2  trained fen
Fen-3  trained fen
Fluni-1 trained fluni
Fluni-2 trained fluni
Fluni-3 trained fluni
HC-1 trained hc
HC-2 trained hc
HC-3 trained hc
HQ-1 trained hq
HQ-2 trained hq
Myr-1 trained  myr
Myr-2  trained myr
Myr-3 trained  myr
Nerol-1 trained  nerol
Nerol-2 trained  nerol
Nerol-3 trained  nerol
BG-1  trained bg
BG-3  trained bg 
PBS-1 untrained pbs
PBS-2 untrained pbs
PBS-3 untrained pbs
PBS-4 untrained pbs
PBS-5 untrained pbs
PBS-6 untrained pbs
